feature,mean_absolute_shap
pm2_5_roll_mean_24h,18.654282
pm2_5,13.994414
hour_sin,5.6475887
month_cos,3.0007193
hour_cos,2.821718
hour,2.3105662
day_of_year,1.7537863
pm10_roll_mean_24h,1.6523755
aqi,1.5675143
pm2_5_roll_mean_6h,1.111648
pm10,1.0579069
no,1.0554239
pm2_5_roll_mean_12h,1.0165969
pm2_5_lag_12h,0.90778774
nh3,0.6955648
nox_roll_mean_24h,0.6627866
pm2_5_lag_6h,0.64837116
pm10_lag_6h,0.5857652
pm10_lag_24h,0.5606386
pm2_5_lag_1h,0.49715462
pm10_lag_12h,0.49608925
no_roll_mean_24h,0.47631025
pm2_5_roll_mean_3h,0.47192284
so2_roll_mean_12h,0.4256919
o3_roll_mean_12h,0.39793476
o3_roll_mean_24h,0.32473433
pm2_5_lag_3h,0.3132207
month,0.30902588
pm10_roll_mean_12h,0.30195743
benzene,0.28960434
o3_lag_3h,0.25578544
so2_roll_mean_24h,0.25003332
o3_lag_12h,0.24446361
nh3_lag_24h,0.24062417
no2_roll_mean_24h,0.23429167
pm2_5_lag_24h,0.23181774
pm10_roll_mean_6h,0.22681557
nh3_roll_mean_24h,0.22676538
so2_roll_mean_6h,0.21769623
pm10_roll_mean_3h,0.21428426
nox,0.20869537
month_sin,0.20446293
no2,0.19766621
o3_roll_mean_3h,0.18837664
nox_roll_mean_3h,0.17440179
no2_lag_24h,0.17426822
so2_lag_24h,0.15947744
xylene,0.15800926
nh3_roll_mean_12h,0.15177299
no2_lag_6h,0.1384995
no_lag_3h,0.13276047
no_roll_mean_12h,0.12947142
toluene,0.12303549
so2_lag_12h,0.12266727
nox_roll_mean_12h,0.12002362
no2_lag_12h,0.11761313
no2_roll_mean_12h,0.11350514
nox_lag_24h,0.10883746
nh3_lag_12h,0.106050566
no2_roll_mean_6h,0.105070345
co_roll_mean_24h,0.10494086
nh3_lag_1h,0.09921904
nox_lag_3h,0.09720823
pm10_lag_1h,0.092059106
so2_lag_6h,0.090620294
nox_lag_12h,0.09024946
no2_lag_1h,0.088868
o3_lag_6h,0.08812377
day_of_week,0.08474194
no_lag_24h,0.08341803
no_roll_mean_3h,0.08312397
so2,0.08227038
nox_lag_6h,0.0790864
no_lag_1h,0.07660224
so2_lag_1h,0.07450547
co,0.07425957
nh3_roll_mean_3h,0.07248673
no_lag_6h,0.07027854
nh3_lag_6h,0.068338364
so2_roll_mean_3h,0.066771574
so2_lag_3h,0.06344111
nh3_roll_mean_6h,0.060587462
nox_roll_mean_6h,0.060555425
nox_lag_1h,0.057830185
co_lag_6h,0.056947555
co_roll_mean_6h,0.055729557
o3_roll_mean_6h,0.055622004
co_lag_3h,0.054948952
o3_lag_24h,0.053874485
o3_lag_1h,0.051681858
no_roll_mean_6h,0.04913197
no2_roll_mean_3h,0.047868874
co_roll_mean_12h,0.046825744
no_lag_12h,0.04335375
no2_lag_3h,0.043334432
o3,0.04175309
co_roll_mean_3h,0.037370235
pm10_lag_3h,0.0360848
nh3_lag_3h,0.035013516
co_lag_12h,0.031498767
co_lag_24h,0.029664287
co_lag_1h,0.022802107
is_weekend,0.004523282
