feature,mean_abs_shap
pm2_5_roll_mean_24h,19.142054
pm2_5,13.962756
hour_sin,5.639888
month_cos,3.006081
hour_cos,2.7686403
hour,2.2804842
day_of_year,1.7501668
pm10_roll_mean_24h,1.6747199
aqi,1.5743514
pm2_5_roll_mean_6h,1.12288
pm10,1.0551423
no,1.0421896
pm2_5_roll_mean_12h,1.0207136
pm2_5_lag_12h,0.9062015
nh3,0.703031
pm2_5_lag_6h,0.6636803
nox_roll_mean_24h,0.6423785
pm10_lag_6h,0.58261895
pm10_lag_24h,0.55789727
pm10_lag_12h,0.5115544
pm2_5_roll_mean_3h,0.50125706
pm2_5_lag_1h,0.49844518
no_roll_mean_24h,0.44618562
o3_roll_mean_12h,0.39373514
so2_roll_mean_12h,0.38611063
o3_roll_mean_24h,0.34512344
pm2_5_lag_3h,0.31992418
benzene,0.30660868
month,0.30431476
pm10_roll_mean_12h,0.2986288
o3_lag_3h,0.26444906
o3_lag_12h,0.2464319
pm2_5_lag_24h,0.24436143
nh3_lag_24h,0.24049807
no2_roll_mean_24h,0.2379683
so2_roll_mean_24h,0.23620701
nh3_roll_mean_24h,0.23043622
pm10_roll_mean_6h,0.22833033
pm10_roll_mean_3h,0.21811658
nox,0.21300447
so2_roll_mean_6h,0.20960455
month_sin,0.20137532
o3_roll_mean_3h,0.19494133
no2,0.1903281
no2_lag_24h,0.17369375
nox_roll_mean_3h,0.1671068
xylene,0.15835391
so2_lag_24h,0.15699601
nh3_roll_mean_12h,0.15478912
no2_lag_6h,0.13781099
no_lag_3h,0.13597116
no_roll_mean_12h,0.1326383
toluene,0.12218771
nox_roll_mean_12h,0.12194516
no2_roll_mean_12h,0.12119766
no2_lag_12h,0.12118781
so2_lag_12h,0.119279124
co_roll_mean_24h,0.112995185
nox_lag_24h,0.11083508
nh3_lag_12h,0.10814146
nh3_lag_1h,0.10422739
no2_roll_mean_6h,0.09827587
nox_lag_3h,0.09586203
o3_lag_6h,0.09335556
day_of_week,0.091043465
nox_lag_12h,0.08930367
pm10_lag_1h,0.08923579
no2_lag_1h,0.08852932
no_lag_24h,0.0883508
so2_lag_6h,0.087365285
no_roll_mean_3h,0.08092958
nox_lag_6h,0.07976414
so2,0.07786229
so2_lag_1h,0.07714194
no_lag_1h,0.07525335
nh3_lag_6h,0.07300624
nh3_roll_mean_3h,0.071720965
co,0.07044705
no_lag_6h,0.06761629
so2_roll_mean_3h,0.06364749
so2_lag_3h,0.06222931
nh3_roll_mean_6h,0.061213113
nox_lag_1h,0.06081814
co_lag_6h,0.059759904
nox_roll_mean_6h,0.05941444
o3_roll_mean_6h,0.055073157
co_lag_3h,0.05429704
o3_lag_24h,0.052461635
o3_lag_1h,0.051658753
co_roll_mean_6h,0.05112633
no_roll_mean_6h,0.04923485
co_roll_mean_12h,0.047157243
o3,0.043085005
no_lag_12h,0.04299999
no2_roll_mean_3h,0.042970475
no2_lag_3h,0.03980117
co_roll_mean_3h,0.037502725
nh3_lag_3h,0.035970107
pm10_lag_3h,0.03561622
co_lag_12h,0.0332239
co_lag_24h,0.029797915
co_lag_1h,0.02278672
is_weekend,0.0049465857
