station_id,station_name,city,state,n_observations,missing_pm25_pct,date_range_start,date_range_end,expected_hourly_slots,continuity_pct,usable_training_rows
UP014,"Lalbagh, Lucknow - CPCB",Lucknow,Uttar Pradesh,48192,17.14,2015-01-01 01:00:00,2020-07-01,48192,100.0,39931
UP012,"Central School, Lucknow - CPCB",Lucknow,Uttar Pradesh,48192,17.21,2015-01-01 01:00:00,2020-07-01,48192,100.0,39896
TN001,"Alandur Bus Depot, Chennai - CPCB",Chennai,Tamil Nadu,48192,17.94,2015-01-01 01:00:00,2020-07-01,48192,100.0,39548
KA009,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,48192,20.5,2015-01-01 01:00:00,2020-07-01,48192,100.0,38314
DL031,"R K Puram, Delhi - DPCC",Delhi,Delhi,45950,17.31,2015-04-04 11:00:00,2020-07-01,45950,100.0,37992
KA003,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,48192,21.55,2015-01-01 01:00:00,2020-07-01,48192,100.0,37806
DL021,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,48192,23.43,2015-01-01 01:00:00,2020-07-01,48192,100.0,36901
DL002,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,45950,19.9,2015-04-04 11:00:00,2020-07-01,45950,100.0,36802
DL028,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,45872,24.39,2015-04-07 17:00:00,2020-07-01,45872,100.0,34676
TN004,"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,48192,30.07,2015-01-01 01:00:00,2020-07-01,48192,100.0,33700
TN003,"Manali, Chennai - CPCB",Chennai,Tamil Nadu,48192,30.32,2015-01-01 01:00:00,2020-07-01,48192,100.0,33579
TG005,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,Telangana,48107,32.45,2015-01-04 14:00:00,2020-07-01,48107,100.0,32494
HR014,"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,40258,19.92,2015-11-27 15:00:00,2020-07-01,40258,100.0,32240
DL019,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,45826,29.71,2015-04-09 15:00:00,2020-07-01,45826,100.0,32204
BR007,"IGSC Planetarium Complex, Patna - BSPCB",Patna,Bihar,44554,28.25,2015-06-01 15:00:00,2020-07-01,44554,100.0,31966
GJ001,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,48192,34.43,2015-01-01 01:00:00,2020-07-01,48192,100.0,31601
TG004,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana,33565,9.06,2016-09-01 12:00:00,2020-07-01,33565,100.0,30517
DL013,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,48192,38.28,2015-01-01 01:00:00,2020-07-01,48192,100.0,29740
DL034,"Sirifort, Delhi - CPCB",Delhi,Delhi,32051,9.71,2016-11-03 14:00:00,2020-07-01,32051,100.0,28933
TG003,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,29558,4.55,2017-02-15 11:00:00,2020-07-01,29558,100.0,28209
AP005,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,Andhra Pradesh,35053,23.16,2016-07-01 12:00:00,2020-07-01,35053,100.0,26928
TG006,"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana,42321,37.0,2015-09-02 16:00:00,2020-07-01,42321,100.0,26659
PB001,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,29269,15.19,2017-02-27 12:00:00,2020-07-01,29269,100.0,24818
RJ005,"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,26705,8.11,2017-06-14 08:00:00,2020-07-01,26705,100.0,24540
TG002,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,26722,8.53,2017-06-13 15:00:00,2020-07-01,26722,100.0,24437
RJ004,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,23793,0.95,2017-10-13 16:00:00,2020-07-01,23793,100.0,23560
UP016,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,24199,3.0,2017-09-26 18:00:00,2020-07-01,24199,100.0,23466
KL008,"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,26651,12.16,2017-06-16 14:00:00,2020-07-01,26651,100.0,23406
RJ006,"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,23534,1.52,2017-10-24 11:00:00,2020-07-01,23534,100.0,23170
DL012,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,24840,9.07,2017-08-31 01:00:00,2020-07-01,24840,100.0,22588
DL017,"Lodhi Road, Delhi - IMD",Delhi,Delhi,24662,9.65,2017-09-07 11:00:00,2020-07-01,24662,100.0,22276
DL004,"Aya Nagar, Delhi - IMD",Delhi,Delhi,24661,9.77,2017-09-07 12:00:00,2020-07-01,24661,100.0,22245
TG001,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana,29558,25.54,2017-02-15 11:00:00,2020-07-01,29558,100.0,22007
DL030,"Pusa, Delhi - IMD",Delhi,Delhi,24683,11.54,2017-09-06 14:00:00,2020-07-01,24683,100.0,21831
DL025,"North Campus, DU, Delhi - IMD",Delhi,Delhi,24840,13.36,2017-08-31 01:00:00,2020-07-01,24840,100.0,21515
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,21137,0.87,2018-02-01 08:00:00,2020-07-01,21137,100.0,20951
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,21134,0.89,2018-02-01 11:00:00,2020-07-01,21134,100.0,20939
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,21144,1.03,2018-02-01 01:00:00,2020-07-01,21144,100.0,20926
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,21136,1.31,2018-02-01 09:00:00,2020-07-01,21136,100.0,20854
