station_id,station_name,city,state,first_reading,last_reading,span_days,n_records,n_pm25_present,pm25_coverage
HR012,"Sector-51, Gurugram - HSPCB",Gurugram,Haryana,2020-03-05 16:00:00,2020-07-01,117,2817,2799,0.9936
DL010,"Dwarka-Sector 8, Delhi - DPCC",Delhi,Delhi,2018-02-01 08:00:00,2020-07-01,880,21137,20954,0.9913
DL024,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20945,0.9911
RJ004,"Adarsh Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,2017-10-13 16:00:00,2020-07-01,991,23793,23566,0.9905
DL018,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,2018-02-01 01:00:00,2020-07-01,880,21144,20926,0.9897
DL036,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,2018-07-03 19:00:00,2020-07-01,728,17478,17261,0.9876
DL003,"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,2018-02-01 09:00:00,2020-07-01,880,21136,20860,0.9869
WB009,"Fort William, Kolkata - WBPCB",Kolkata,West Bengal,2019-05-31 13:00:00,2020-07-01,396,9516,9378,0.9855
RJ006,"Shastri Nagar, Jaipur - RSPCB",Jaipur,Rajasthan,2017-10-24 11:00:00,2020-07-01,980,23534,23176,0.9848
MH010,"Powai, Mumbai - MPCB",Mumbai,Maharashtra,2019-06-04 11:00:00,2020-07-01,392,9422,9276,0.9845
DL027,"Patparganj, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20791,0.9838
DL015,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,2018-02-01 09:00:00,2020-07-01,880,21136,20789,0.9836
DL026,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20740,0.9814
DL038,"Wazirpur, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20710,0.9799
AS001,"Railway Colony, Guwahati - APCB",Guwahati,Assam,2019-02-16 23:00:00,2020-07-01,500,12002,11744,0.9785
DL035,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20669,0.978
DL005,"Bawana, Delhi - DPCC",Delhi,Delhi,2018-07-04 19:00:00,2020-07-01,727,17454,17029,0.9757
DL016,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,2018-02-01 09:00:00,2020-07-01,880,21136,20601,0.9747
BR009,"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,2019-12-24 18:00:00,2020-07-01,189,4543,4426,0.9742
DL037,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20577,0.9736
BR010,"Samanpura, Patna - BSPCB",Patna,Bihar,2019-12-24 18:00:00,2020-07-01,189,4543,4423,0.9736
DL020,"Mundka, Delhi - DPCC",Delhi,Delhi,2018-07-03 19:00:00,2020-07-01,728,17478,17008,0.9731
WB010,"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,2019-06-03 11:00:00,2020-07-01,393,9446,9188,0.9727
HR013,"Teri Gram, Gurugram - HSPCB",Gurugram,Haryana,2020-03-05 16:00:00,2020-07-01,117,2817,2737,0.9716
KL004,"Vyttila, Kochi - Kerala PCB",Kochi,Kerala,2020-01-22 11:00:00,2020-07-01,160,3854,3740,0.9704
UP016,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,2017-09-26 18:00:00,2020-07-01,1008,24199,23472,0.97
DL032,"Rohini, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20496,0.9698
MH014,"Worli, Mumbai - MPCB",Mumbai,Maharashtra,2019-06-11 10:00:00,2020-07-01,385,9255,8951,0.9672
DL023,"Narela, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20404,0.9655
DL022,"Najafgarh, Delhi - DPCC",Delhi,Delhi,2018-02-01 11:00:00,2020-07-01,880,21134,20248,0.9581
BR008,"Muradpur, Patna - BSPCB",Patna,Bihar,2019-12-24 18:00:00,2020-07-01,189,4543,4349,0.9573
MP001,"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,2019-09-17 10:00:00,2020-07-01,287,6903,6608,0.9573
WB007,"Ballygunge, Kolkata - WBPCB",Kolkata,West Bengal,2019-08-30 11:00:00,2020-07-01,305,7334,7016,0.9566
TG003,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,2017-02-15 11:00:00,2020-07-01,1231,29558,28214,0.9545
DL001,"Alipur, Delhi - DPCC",Delhi,Delhi,2018-11-11 15:00:00,2020-07-01,597,14338,13647,0.9518
WB008,"Bidhannagar, Kolkata - WBPCB",Kolkata,West Bengal,2019-08-21 16:00:00,2020-07-01,314,7545,7164,0.9495
MH011,"Sion, Mumbai - MPCB",Mumbai,Maharashtra,2019-06-20 14:00:00,2020-07-01,376,9035,8491,0.9398
MH008,"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,2019-06-24 12:00:00,2020-07-01,372,8941,8397,0.9392
DL029,"Pusa, Delhi - DPCC",Delhi,Delhi,2018-07-03 19:00:00,2020-07-01,728,17478,16411,0.939
CH001,"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,2019-09-02 10:00:00,2020-07-01,302,7263,6746,0.9288
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,2018-06-29 19:00:00,2020-07-01,732,17574,16239,0.924
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,2018-01-09 12:00:00,2020-07-01,903,21685,19954,0.9202
RJ005,"Police Commissionerate, Jaipur - RSPCB",Jaipur,Rajasthan,2017-06-14 08:00:00,2020-07-01,1112,26705,24540,0.9189
UP013,"Gomti Nagar, Lucknow - UPPCB",Lucknow,Uttar Pradesh,2019-08-21 16:00:00,2020-07-01,314,7545,6931,0.9186
TG002,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,2017-06-13 15:00:00,2020-07-01,1113,26722,24443,0.9147
KL002,"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,Kerala,2020-01-22 13:00:00,2020-07-01,160,3852,3519,0.9136
